<!-- Atlas des flux RSS/ATOM - rubrique politique - langue française - par Saynète http://www.saynete.net - http://atlasflux.saynete.net 22_01_2020 -->
"Intelligence online : Africa : la lettre du continent";"http://feeds.feedburner.com/LettreDuContinent";"politique";
"iPolitique";"http://www.ipolitique.fr/index.rss";"politique";
"IRIS - Institut de Relations Internationales et Stratégiques";"https://www.iris-france.org/feed/";"politique";"monde";
"Jacques Cheminade";"http://jacquescheminade.fr/spip.php?page=backend";"politique";"personnalite";
"Jean-Dominique Merchet - Secret défense";"https://www.lopinion.fr/blog/751/rss.xml";"politique";"chroniqueur";
"Jean-Luc Mélenchon";"https://melenchon.fr/feed/";"politique";"personnalite";
"Jean-Luc Mélenchon : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCk-_PEY3iC6DIGJKuoEe9bw";"politique";"personnalite";
"Jean-Marc Tanguy";"https://lemamouth.blogspot.com/feeds/posts/default?alt=rss";"politique";"tribune";
"Jean-Pierre Chevènement";"http://feeds.feedburner.com/chevenement?format=xml";"politique";"personnalite";
"Julia Reda";"https://juliareda.eu/fr/feed/";"politique";"personnalite";
"JuriTravail";"https://www.juritravail.com/news.xml";"politique";
"Kabyle.com";"https://kabyle.com/feed";"politique";
"Kevre Breizh";"http://kevrebreizh.bzh/index.php?format=feed&amp;type=rss";"politique";"linguistique";
"L'Express : édito";"https://www.lexpress.fr/rss/edito-video-christophe-barbier.xml";"politique";
"L'Express : opinions";"https://www.lexpress.fr/rss/opinions.xml";"politique";
"L'Express : politique";"https://www.lexpress.fr/rss/politique.xml";"politique";"presse";
"L'indigne du canapé";"http://www.indigne-du-canape.com/feed/";"politique";"tribune";
"La brèche numérique";"http://www.preavis.org/breche-numerique/spip.php?page=backend";"politique";
"La Dépêche : politique";"https://www.ladepeche.fr/actu/politique/rss.xml";"politique";"presse";
"La Feuille de Chou";"http://la-feuille-de-chou.fr/feed";"politique";"tribune";
"La France insoumise";"https://lafranceinsoumise.fr/feed/";"politique";"parti";
"La France insoumise : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCKHKSD-yanY2ZwwU_4Tgf0w";"politique";"parti";
"La République En Marche";"https://en-marche.fr/feed.xml";"politique";"parti";
"La République En Marche : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCJw8np695wqWOaKVhFjkRyg";"politique";"parti";
"LaPresse : politique canadienne";"http://www.lapresse.ca/rss/275.xml";"politique";"presse";
"LaPresse : politique québécoise";"http://www.lapresse.ca/rss/1011.xml";"politique";"presse";
"LaProvence : politique";"https://www.laprovence.com/rss/Politique.xml";"politique";"presse";
"Laurent Wauquiez : facebook";"http://flux.saynete.com/fbook_laurentwauquiez.xml?id=125487850594";"politique";"personnalite";
"LCP Assemblée nationale";"http://www.lcp.fr/rss.xml";"politique";
